id,name,type,author,description,knowledge_amount,bonus
124,Equality of Ordered Pairs,math_problem,MathKG,"Two [[Definition:Ordered Pair|ordered pairs]] are [[Definition:Equality|equal]] {{iff}} corresponding [[Definition:Coordinate of Ordered Pair|coordinates]] are equal: :$\tuple {a, b}",1.3,126.0
129,Composition of Relations is Associative,math_problem,MathKG,The [[Definition:Composition of Relations|composition of relations]] is an [[Definition:Associative Operation|associative]] [[Definition:Binary Operation|binary operation]]: :$\paren {\RR_3 \circ \RR,1.42,128.43
138,Intersection of Subsemigroups,math_problem,MathKG,"Let $\struct {S, \circ}$ be a [[Definition:Semigroup|semigroup]]. Let $\struct {T_1, \circ}$ and $\struct {T_2, \circ}$ be [[Definition:Subsemigroup|subsemigroups]] of $\struct {S, \circ}$. Then the",1.41,128.29
139,Cancellable Elements of Semigroup form Subsemigroup,math_problem,MathKG,"Let $\struct {S, \circ}$ be a [[Definition:Semigroup|semigroup]]. Let $C$ be the set of [[Definition:Cancellable Element|cancellable elements]] of $\struct {S, \circ}$. Then $\struct {C, \circ}$ is",1.41,128.14
151,Relation Reflexivity,math_problem,MathKG,"Every [[Definition:Relation|relation]] has exactly one of these properties: it is either: :[[Definition:Reflexive Relation|reflexive]], :[[Definition:Antireflexive Relation|antireflexive]] or :[[Defin",1.43,128.57
152,Set Union is Idempotent,math_problem,MathKG,[[Definition:Set Union|Set union]] is [[Definition:Idempotent Operation|idempotent]]: :$S \cup S,1.0,120.0
153,Set Intersection is Idempotent,math_problem,MathKG,[[Definition:Set Intersection|Set intersection]] is [[Definition:Idempotent Operation|idempotent]]: :$S \cap S,1.0,120.0
154,Set is Subset of Union,math_problem,MathKG,<onlyinclude> The [[Definition:Set Union|union]] of two [[Definition:Set|sets]] is a [[Definition:Superset|superset]] of each: :$S \subseteq S \cup T$ :$T \subseteq S \cup T$ </onlyinclude>,1.35,127.0
155,Set is Subset of Itself,math_problem,MathKG,"Every [[Definition:Set|set]] is a [[Definition:Subset|subset]] of itself: :$\forall S: S \subseteq S$ Thus, by definition, the [[Definition:Relation|relation]] '''is a subset of''' is [[Definition:",1.41,128.14
156,Subset of Set with Propositional Function,math_problem,MathKG,"Let $S$ be a [[Definition:Set|set]]. Let $P: S \to \set {\T, \F}$ be a [[Definition:Propositional Function|propositional function]] on $S$. Then: :$\set {x \in S: \map P x} \subseteq S$",1.32,126.43
160,Set Equals Itself,math_problem,MathKG,All [[Definition:Set|sets]] are [[Definition:Set Equality|equal]] to themselves: :$\forall S: S,1.0,120.0
161,Union is Smallest Superset,math_problem,MathKG,Let $S_1$ and $S_2$ be [[Definition:Set|sets]]. Then $S_1 \cup S_2$ is the [[Definition:Smallest Set by Set Inclusion|smallest set]] containing both $S_1$ and $S_2$. That is: :$\paren {S_1 \subsete,1.41,128.14
162,Intersection is Subset,math_problem,MathKG,The [[Definition:Set Intersection|intersection]] of two [[Definition:Set|sets]] is a [[Definition:Subset|subset]] of each: :$S \cap T \subseteq S$ :$S \cap T \subseteq T$,1.21,124.29
163,Intersection with Empty Set,math_problem,MathKG,The [[Definition:Set Intersection|intersection]] of any [[Definition:Set|set]] with the [[Definition:Empty Set|empty set]] is itself the [[Definition:Empty Set|empty set]]: :$S \cap \O,1.31,126.29
164,Intersection is Largest Subset,math_problem,MathKG,Let $T_1$ and $T_2$ be [[Definition:Set|sets]]. Then $T_1 \cap T_2$ is the [[Definition:Greatest Set by Set Inclusion|largest set]] contained in both $T_1$ and $T_2$. That is: :$S \subseteq T_1 \la,1.41,128.14
165,Intersection is Subset of Union,math_problem,MathKG,The [[Definition:Set Intersection|intersection]] of two [[Definition:Set|sets]] is a [[Definition:Subset|subset]] of their [[Definition:Set Union|union]]: :$S \cap T \subseteq S \cup T$,1.32,126.43
166,Intersection Distributes over Union,math_problem,MathKG,<onlyinclude> [[Definition:Set Intersection|Set intersection]] is [[Definition:Distributive Operation|distributive]] over [[Definition:Set Union|set union]]: :$R \cap \paren {S \cup T},1.31,126.29
170,Set Difference with Empty Set is Self,math_problem,MathKG,The [[Definition:Set Difference|set difference]] between a [[Definition:Set|set]] and the [[Definition:Empty Set|empty set]] is the [[Definition:Set|set]] itself: :$S \setminus \O,1.28,125.57
171,Set Difference with Self is Empty Set,math_problem,MathKG,The [[Definition:Set Difference|set difference]] of a [[Definition:Set|set]] with itself is the [[Definition:Empty Set|empty set]]: :$S \setminus S,1.05,121.0
172,Set Difference Equals First Set iff Empty Intersection,math_problem,MathKG,,1.0,120.0
173,Euler's Number is Irrational,math_problem,MathKG,[[Definition:Euler's Number|Euler's number]] $e$ is [[Definition:Irrational Number|irrational]].,1.0,120.0
174,Set Difference is Anticommutative,math_problem,MathKG,[[Definition:Set Difference|Set difference]] is an [[Definition:Anticommutative|anticommutative]] operation: :$S,1.0,120.0
175,Dirichlet's Test for Uniform Convergence,math_problem,MathKG,"<onlyinclude> Let $D$ be a [[Definition:Set|set]]. Let $\struct {V, \norm {\,\cdot\,} }$ be a [[Definition:Normed Vector Space|normed vector space]]. Let $a_i, b_i$ be [[Definition:Mapping|mappings]",1.41,128.29
177,Relative Complement of Empty Set,math_problem,MathKG,The [[Definition:Relative Complement|relative complement]] of the [[Definition:Empty Set|empty set]] is the [[Definition:Set|set]] itself: :$\relcomp S \O,1.1,122.0
180,Relative Complement with Self is Empty Set,math_problem,MathKG,The [[Definition:Relative Complement|relative complement]] of a [[Definition:Set|set]] in itself is the [[Definition:Empty Set|empty set]]: :$\relcomp S S,1.1,122.0
182,Intersection with Relative Complement is Empty,math_problem,MathKG,The [[Definition:Set Intersection|intersection]] of a [[Definition:Set|set]] and its [[Definition:Relative Complement|relative complement]] is the [[Definition:Empty Set|empty set]]: :$T \cap \relcom,1.42,128.43
183,Union with Relative Complement,math_problem,MathKG,The [[Definition:Set Union|union]] of a [[Definition:Set|set]] $T$ and its [[Definition:Relative Complement|relative complement]] in $S$ is the set $S$: :$\relcomp S T \cup T,1.24,124.86
184,Set Difference and Intersection form Partition/Corollary 2,math_problem,MathKG,,1.0,120.0
185,Set Difference as Intersection with Relative Complement,math_problem,MathKG,"Let $A, B \subseteq S$. Then the [[Definition:Set Difference|set difference]] between $A$ and $B$ can be expressed as the [[Definition:Set Intersection|intersection]] with the [[Definition:Relative",1.41,128.14
187,Equivalence of Axiom Schemata for Groups,math_problem,MathKG,"In the definition of a [[Definition:Group|group]], the [[Axiom:Group Axioms|axioms]] for the existence of an [[Definition:Identity Element|identity element]] and for [[Definition:Closed Algebraic Stru",1.43,128.57
188,Symmetric Difference is Commutative,math_problem,MathKG,<onlyinclude> [[Definition:Symmetric Difference|Symmetric difference]] is [[Definition:Commutative Operation|commutative]]: :$S \symdif T,1.0,120.0
189,Symmetric Difference of Equal Sets,math_problem,MathKG,The [[Definition:Symmetric Difference|symmetric difference]] of two [[Definition:Set Equality|equal sets]] is the [[Definition:Empty Set|empty set]]: :$S,1.09,121.86
